planet_id,star_type,star_teff_k,star_magnitude_j,planet_radius_re,distance_pc,equilibrium_temp_k,in_habitable_zone,atmosphere_type,cloud_fraction,scale_height_km,o2_ch4_ratio,n_transits,broadband_snr,is_detected,noise_floor_ppm,transit_duration_h
0,K,3792.2090499245196,7.365334435976031,1.8035999518115657,29.922168678499094,496.50654807021925,False,abiotic_o2,0.041607203944130776,10.69316017816191,1000.0,5,39.60261995842999,True,20.95984094461297,2.073147681525841
0,K,3792.2090499245196,7.365334435976031,1.8035999518115657,29.922168678499094,496.50654807021925,False,abiotic_o2,0.041607203944130776,10.69316017816191,1000.0,10,41.76333248059436,True,20.485543059788675,2.073147681525841
0,K,3792.2090499245196,7.365334435976031,1.8035999518115657,29.922168678499094,496.50654807021925,False,abiotic_o2,0.041607203944130776,10.69316017816191,1000.0,20,43.02955462419369,True,20.244227311413212,2.073147681525841
1,M,2998.9044765685017,9.596222835859333,1.4252530419461755,21.429327507810683,384.85487146593215,False,high_co2,0.3997048537718744,7.941025296037292,0.01,5,93.58763595204968,True,32.33097892550232,0.9492290061336497
1,M,2998.9044765685017,9.596222835859333,1.4252530419461755,21.429327507810683,384.85487146593215,False,high_co2,0.3997048537718744,7.941025296037292,0.01,10,113.20508109680796,True,26.882078035421173,0.9492290061336497
1,M,2998.9044765685017,9.596222835859333,1.4252530419461755,21.429327507810683,384.85487146593215,False,high_co2,0.3997048537718744,7.941025296037292,0.01,20,130.90032394408064,True,23.692257579864695,0.9492290061336497
2,M,3639.63862151588,10.258171564982227,2.524456201534767,42.56179048468604,688.4501288547418,False,abiotic_o2,0.8171849290898765,10.75517029997317,1000.0,5,5.3901669512945185,True,36.08893251944792,1.299712845841445
2,M,3639.63862151588,10.258171564982227,2.524456201534767,42.56179048468604,688.4501288547418,False,abiotic_o2,0.8171849290898765,10.75517029997317,1000.0,10,6.991048971431564,True,29.160880546314406,1.299712845841445
2,M,3639.63862151588,10.258171564982227,2.524456201534767,42.56179048468604,688.4501288547418,False,abiotic_o2,0.8171849290898765,10.75517029997317,1000.0,20,8.669710035738122,True,24.999344883774455,1.299712845841445
3,M,3448.560796337704,10.778429151568677,2.1121606578781043,49.590356300121826,154.35544538720265,False,abiotic_o2,0.768194037170206,9.642949485879154,1000.0,5,8.022345881716154,True,28.362528620720035,4.647616073945515
